skills
"Linux,Agile,C++,Shell Scripting,SQL,Scrum,GitLab,JIRA,Salesforce,Conﬂuence,SalesForce,JAVA"
"HTML/CSS,MYSQL,Outsystems,Javascript"
"Python,R,Power BI,Data Analysis,Tableau,DialogFlow,Machine Learning,Deep Learning,Quantitative Analysis,Natural Language Processing,Data Visualization,Regression Analysis,Modeling,Exploratory Data Analysis,Conversational AI,Statistical Computing Methods,Business Intelligence,Microsoft Azure,PySpark,SQL,Hive,Impala,IBM Watson Studio"
"Javascript,NodeJs,ReactJS,Angular,AngularJs,React Native"
"NodeJS,React-Native,ReactJS"
"Lead Generation,Detailed Prospecting,Sales Pitch Development,Customer Relationship Management,Team management,Time management,Quick Learner,Adaptive to new technologies,Good Written and Verbal Communication skills"
"Python,Odoo Framework,JavaScript,HTML,MVC,CSS,Bootstarp,PostgreSQL,XML,GIT"
"React.js,vue.js,HTML/CSS,Bootstrap,Material UI,SCSS,Jquery,axios,ajax,flux,react hooks"
"React JS,Redux,HTML 5,CSS 3,Javascript"
"Blockchain,Ethereum,Java,Git,Rust,Golang,Substrate,Python,Stellar,Solidity,NodeJS,Postgres,React.js,Solana,Typescript,Redis,Next.js,Snowﬂakes,NestJs"
"Next Js with Type script,Redux Toolkit,Tailwind CSS,Electron Js,Style Components"
"JavaScript,HTML/CSS,Python,React js,Node js,MERN stack,Visual Studio"
"C,C++,Python,Metasploit,Nmap,Html5"
"HTML5,CSS3,JavaScript,React.JS,Redux"
